At2g41945,At5g13790
At5g03210,At5g11260
At4g36920,At5g15310
At2g20180,At5g58610
At5g41315,At5g46020
At1g32337,At5g13790
At1g05690,At2g20180
At3g19390,At5g13790
At1g05785,At5g13790
At1g24260,At4g10950
At4g23810,At5g48910
At1g14350,At4g03780
At1g24260,At1g68830
At1g14350,At1g47590
At2g30000,At5g41315
At3g27920,At5g23130
At2g06303,At3g27920
At3g47640,At3g57060
At1g24260,At4g37080
At2g21510,At5g13790
At3g27920,At4g24415
At1g63300,At3g27920
At1g24260,At3g04090
At5g13790,At5g57960
At1g11420,At5g41315
At4g20260,At4g36920
At1g24260,At5g54380
At1g09530,At3g51240
At1g31355,At3g27920
At1g24260,At4g30950
At1g33240,At2g20180
At1g24260,At4g37870
At4g33440,At5g13790
At1g10470,At5g13790
At5g13790,At5g59780
At1g14350,At4g04300
At1g57610,At5g13790
At2g12210,At3g27920
At3g48510,At5g13790
At1g24260,At2g44820
At3g52525,At5g41315
At4g36920,At5g05860
At1g24260,At5g60400
At1g24260,At2g28840
At1g24260,At2g45120
At1g01650,At1g24260
At3g27920,At5g67350
At2g20180,At5g13730
At3g11800,At5g41315
At1g24260,At4g19170
At1g69760,At5g13790
At2g20180,At3g12300
At3g27920,At5g57160
At1g14350,At1g34400
At1g24260,At4g30150
At1g24260,At3g06550
At1g24260,At5g64572
At3g16010,At5g13790
At2g02820,At5g27160
At2g20180,At3g13000
At1g61740,At5g13790
At4g31600,At5g41315
At1g62300,At4g23810
At1g24260,At1g66140
At4g20550,At5g41315
At2g20180,At3g16820
At1g70530,At5g13790
At1g24260,At2g44660
At5g41315,At5g59250
At1g24260,At4g28270
At1g24260,At3g49810
At4g30200,At5g13790
At3g61880,At5g13790
At3g02070,At5g41315
At1g52490,At5g11260
At4g27280,At5g11260
At2g36010/At5g02470,At3g15620
At5g13790,At5g15320
At1g24260,At4g33945
At1g06100,At5g41315
At2g20180,At2g36240
At2g02820,At4g14220
At1g24260,At5g66880
At3g60550,At5g11260
At4g34050,At5g13790
At1g75760,At5g41315
At5g19930,At5g41315
At1g17400,At1g24260
At2g01905,At5g13790
At1g66780,At2g02820
At3g48520,At5g13790
At1g24260,At4g38710
At1g26960,At5g13790
At1g24530,At5g13790
At1g14350,At3g54540
At1g24260,At5g67480
At1g18410,At5g13790
At1g14350,At5g39240
At1g06910,At3g27920
At4g34960,At5g13790
At1g24260,At2g30520
At5g11260,At5g64550
At1g67010,At3g27920
At1g19830,At5g41315
At1g56140,At3g27920
At2g44800,At3g27920
At4g14430,At5g41315
At1g24260,At2g22780
At1g24260,At3g29240
At3g27920,At5g29975
At1g24260,At2g17880
At1g24260,At4g30090
At4g27090,At5g11260
At1g20010,At5g13790
At1g24260,At5g01810
At1g14350,At5g43280
At1g24260,At1g75450
At1g24260,At3g60400
At1g61667,At5g13790
At4g01090,At5g13790
At1g44350,At5g13790
At1g24260,At1g55270
At1g14350,At4g36920
At5g01100,At5g13790
At1g24260,At2g31740
At1g24260,At5g64810
At5g08130,At5g13790
At1g24260,At1g58360
At3g57390,At5g13790
At3g50850,At5g13790
At1g24260,At3g18485
At2g45640,At5g13790
At4g19110,At5g13790
At2g20180,At5g63790
At2g09880,At3g27920
At3g11410,At5g13790
At1g73670,At2g20180
At2g20180,At5g54950
At3g01370,At5g13790
At1g24260,At4g34870
At1g14350,At5g27240
At2g20180,At2g42970
At1g31230,At2g20180
At5g11260,At5g43890
At1g27480,At5g13790
At1g69220,At5g11260
At4g32340,At5g13790
At1g24260,At3g15470
At5g41315,At5g65830
At2g02820,At2g04670
At1g24260,At1g71440
At1g48000,At2g02820
At4g36970,At5g13790
At1g24260,At5g47060
At1g24260,At5g06130
At1g11240,At1g24260
At2g36010/At5g02470,At5g52910
At2g20180,At5g51460
At1g24260,At2g43060
At2g20180,At4g10010
At1g24260,At1g73600
At1g49230,At4g36920
At2g20180,At5g65158
At5g06250,At5g13790
At1g07650,At5g13790
At1g24260,At3g49530
At3g27920,At3g42565
At1g15810,At2g20180
At1g03730,At1g24260
At4g39350,At5g13790
At1g24260,At5g67360
At1g24260,At2g43100
At3g27920/At5g41315,At3g50800
At5g01190,At5g13790
