"""250567_at""","""At5g08090"""
"""266437_at""","""At2g43170"""
"""246298_at""","""At3g51770"""
"""256987_at""","""At3g28560"""
"""264291_at""","""At1g78800"""
"""247598_at""","""At5g60870"""
"""254019_at""","""At4g26190"""
"""246981_at""","""At5g04840"""
"""260275_at""","""At1g80610"""
"""253940_at""","""At4g26950"""
"""261141_at""","""At1g19740"""
"""262574_at""","""At1g15230"""
"""261384_at""","""At1g05440"""
"""254987_s_at""","""At4g10700"""
"""251090_at""","""At5g01340"""
"""259918_at""","""At1g72570"""
"""248165_at""","""At5g54430"""
"""258054_at""","""At3g16240"""
"""255143_at""","""At4g08430"""
"""250223_at""","""At5g14070"""
"""265323_at""","""At2g18260"""
"""248019_at""","""At5g56480"""
"""255995_at""","""At1g29750"""
"""246295_at""","""At3g56690"""
"""252874_at""","""At4g40095"""
"""259558_at""","""At1g21230"""
"""262156_at""","""At1g52680"""
"""251213_at""","""At3g62490"""
"""262842_at""","""At1g14720"""
"""252781_at""","""At3g42950"""
"""254181_at""","""At4g23940"""
"""250856_at""","""At5g04810"""
"""255157_at""","""At4g07790"""
"""249181_at""","""At5g42920"""
"""250267_at""","""At5g12930"""
"""251245_at""","""At3g62090"""
"""252716_at""","""At3g43920"""
"""249586_at""","""At5g37840"""
"""262361_at""","""At1g73150"""
"""260436_at""","""At1g68140"""
"""252089_at""","""At3g52110"""
"""262050_at""","""At1g80130"""
"""267105_at""","""At2g14760"""
"""263763_at""","""At2g21385"""
"""263705_at""","""At1g31190"""
"""250114_s_at""","""At5g16340"""
"""263439_at""","""At2g28650"""
"""256861_at""","""At3g23920"""
"""247371_at""","""At5g63110"""
"""259057_at""","""At3g03310"""
"""245253_at""","""At4g15440"""
"""251492_at""","""At3g59280"""
"""252319_at""","""At3g48710"""
"""260087_at""","""At1g73200"""
"""250926_at""","""At5g03555"""
"""256800_at""","""At3g20900"""
"""247840_at""","""At5g58020"""
"""263239_at""","""At2g16570"""
"""257926_at""","""At3g23280"""
"""245563_at""","""At4g14580"""
"""266887_at""","""At2g44650"""
"""260752_at""","""At1g49030"""
"""254536_at""","""At4g19720"""
"""245639_at""","""At1g25260"""
"""247261_at""","""At5g64460"""
"""250655_at""","""At5g06960"""
"""266306_at""","""At2g26970"""
"""256604_at""","""At3g29640"""
"""248369_at""","""At5g52040"""
"""252098_at""","""At3g51330"""
"""260440_at""","""At1g68160"""
"""260586_at""","""At2g43630"""
"""253442_at""","""At4g32530"""
"""257253_at""","""At3g24190"""
"""259035_at""","""At3g09430"""
"""249952_at""","""At5g18950"""
"""257536_at""","""At3g02800"""
"""246340_s_at""","""At3g44860"""
"""257791_at""","""At3g27110"""
"""262553_at""","""At1g31360"""
"""255030_at""","""At4g09480"""
"""266940_at""","""At2g18970"""
"""245846_at""","""At1g26130"""
"""256793_at""","""At3g22160"""
"""250937_at""","""At5g03230"""
"""249572_at""","""At5g37630"""
"""261156_s_at""","""At1g34520"""
"""254043_at""","""At4g25990"""
"""254285_at""","""At4g22940"""
